City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
169,Presidente Medici,BR,-11.1753,-61.9014,75.94,67,61,1.83,broken clouds
170,Codrington,AU,-38.2667,141.9667,49.23,72,85,16.55,overcast clouds
171,Maiduguri,NG,11.8464,13.1603,84.85,39,96,2.64,overcast clouds
172,Mbeya,TZ,-8.9,33.45,52.07,92,48,5.64,scattered clouds
173,Khatanga,RU,71.9667,102.5,28.99,85,91,6.2,overcast clouds
174,Shingu,JP,33.7333,135.9833,65.73,97,100,18.34,moderate rain
175,Nome,US,64.5011,-165.4064,68.11,36,0,12.66,clear sky
176,Nampula,MZ,-15.1165,39.2666,66.15,82,0,12.66,clear sky
177,Vostok,RU,46.4856,135.8833,53.58,46,98,3.42,overcast clouds
178,Chokurdakh,RU,70.6333,147.9167,51.51,36,38,9.66,scattered clouds
179,Karlskrona,SE,56.1616,15.5866,50.45,84,84,4.7,broken clouds
180,Cabedelo,BR,-6.9811,-34.8339,75.87,78,2,14.58,clear sky
181,Shvartsevskiy,RU,54.0961,37.9917,48.65,94,0,7.76,clear sky
182,Beloha,MG,-25.1667,45.05,66.56,85,96,5.88,overcast clouds
183,Nalut,LY,30.3333,10.85,82.4,24,0,9.4,clear sky
184,Kavieng,PG,-2.5744,150.7967,82.76,69,42,5.23,scattered clouds
185,Nanortalik,GL,60.1432,-45.2371,42.91,76,88,2.59,overcast clouds
186,Banda Aceh,ID,5.5577,95.3222,79.65,81,100,8.77,overcast clouds
187,Verkhoyansk,RU,67.5447,133.385,71.82,41,2,10.8,clear sky
188,Hami,CN,42.8,93.45,69.15,23,0,14.32,clear sky
189,Makakilo City,US,21.3469,-158.0858,83.95,53,0,12.66,clear sky
190,Antalaha,MG,-14.9003,50.2788,66.47,78,2,6.89,clear sky
191,Havelock,US,34.8791,-76.9013,80.6,50,20,20.71,few clouds
192,Bairiki,KI,1.3292,172.9752,86.0,74,40,8.05,scattered clouds
193,Kushmurun,KZ,52.4503,64.6311,51.15,71,87,6.08,overcast clouds
194,Esna,EG,25.2934,32.554,86.02,17,2,10.25,clear sky
195,Raga,SS,8.4596,25.678,70.39,82,98,3.04,overcast clouds
196,Oktyabrskiy,RU,54.4815,53.471,54.32,86,97,2.42,overcast clouds
197,Nizhniy Baskunchak,RU,48.2198,46.8311,76.87,26,98,10.38,overcast clouds
198,Vestmannaeyjar,IS,63.4427,-20.2734,49.78,95,100,13.53,light rain
199,Sinnamary,GF,5.3833,-52.95,77.95,85,96,10.0,overcast clouds
200,Saint-Augustin,CA,51.226,-58.6502,51.17,76,100,9.53,overcast clouds
201,Mount Isa,AU,-20.7333,139.5,62.37,72,100,10.36,overcast clouds
202,Rocha,UY,-34.4833,-54.3333,53.08,93,100,2.68,overcast clouds
203,Souillac,MU,-20.5167,57.5167,73.78,78,75,8.05,light rain
204,Opelousas,US,30.5335,-92.0815,90.9,65,70,7.47,broken clouds
205,Roald,NO,62.5833,6.1333,47.75,76,12,11.5,few clouds
206,Tasiilaq,GL,65.6145,-37.6368,44.76,57,15,4.65,few clouds
207,Fairbanks,US,64.8378,-147.7164,73.6,19,0,12.66,clear sky
208,Jalu,LY,29.0331,21.5482,79.9,44,0,16.64,clear sky
209,Magaria,NE,12.9983,8.9099,83.01,42,51,2.42,broken clouds
210,Billings,US,45.7833,-108.5007,73.51,51,75,9.22,broken clouds
211,Ekhabi,RU,53.5102,142.9671,57.9,55,83,7.38,broken clouds
212,Klaksvik,FO,62.2266,-6.589,50.92,89,100,11.07,overcast clouds
213,Severodvinsk,RU,64.5635,39.8302,53.71,93,55,6.87,broken clouds
214,Great Falls,US,47.5002,-111.3008,63.66,77,100,21.85,light rain
215,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,23.02,scattered clouds
216,Dayong,CN,25.0209,118.2898,77.5,96,100,2.86,moderate rain
217,Sumenep,ID,-7.0167,113.8667,80.56,81,96,7.34,overcast clouds
218,Quatre Cocos,MU,-20.2078,57.7625,73.51,84,19,9.4,light rain
219,Dustlik,UZ,40.5247,68.0358,71.49,24,0,1.92,clear sky
220,Butaritari,KI,3.0707,172.7902,81.59,73,75,12.33,broken clouds
221,Den Helder,NL,52.9599,4.7593,60.98,95,75,5.01,light rain
222,Kyra,RU,49.5776,111.9753,53.22,71,100,1.86,overcast clouds
223,Pozzallo,IT,36.7305,14.8499,79.0,47,7,8.14,clear sky
224,Cap-Aux-Meules,CA,47.3821,-61.8597,50.05,66,75,11.5,broken clouds
225,Jumla,NP,29.2747,82.1838,53.65,63,39,4.14,scattered clouds
226,Taltal,CL,-25.4,-70.4833,59.85,88,12,4.09,few clouds
227,Sterling,US,39.0062,-77.4286,80.74,39,20,6.91,few clouds
228,Kaupanger,NO,61.1845,7.2404,49.41,75,56,1.32,broken clouds
229,Hamilton,US,39.1834,-84.5333,84.0,42,40,8.05,scattered clouds
230,Aanekoski,FI,62.6946,25.818,44.67,78,5,5.59,clear sky
231,Promyshlennaya,RU,54.9159,85.6385,41.95,90,100,10.04,overcast clouds
232,Geilo,NO,60.5333,8.2076,48.56,65,83,5.3,broken clouds
233,Port Lincoln,AU,-34.7333,135.8667,53.83,64,73,17.11,broken clouds
234,Poum,NC,-20.2333,164.0167,77.59,71,5,13.71,clear sky
235,Yulara,AU,-25.2406,130.9889,49.57,67,39,7.14,scattered clouds
236,Ormond Beach,US,29.2858,-81.0559,85.01,77,40,12.66,scattered clouds
237,Chioggia,IT,45.2256,12.2889,71.6,89,58,11.52,broken clouds
238,Vallentuna,SE,59.5344,18.0776,55.44,70,0,4.61,clear sky
239,Grindavik,IS,63.8424,-22.4338,46.35,61,75,4.61,light intensity drizzle
