City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Carnarvon,-24.8667,113.6333,67.39,45,9,8.08,AU,2022-06-05 18:17:32
122,Karwar,14.8,74.1333,81.09,84,88,5.57,IN,2022-06-05 18:17:33
123,Mirante Do Paranapanema,-22.2919,-51.9064,81.64,43,6,8.59,BR,2022-06-05 18:17:33
124,Hokitika,-42.7167,170.9667,53.33,90,100,6.13,NZ,2022-06-05 18:17:33
125,Olinda,-8.0089,-34.8553,82.13,69,40,14.97,BR,2022-06-05 18:17:34
126,Shache,38.4167,77.2406,77.72,18,100,3.71,CN,2022-06-05 18:17:34
127,Alofi,-19.0595,-169.9187,79.07,76,31,5.91,NU,2022-06-05 18:15:19
128,Nikolskoye,59.7035,30.7861,60.69,70,95,4.54,RU,2022-06-05 18:17:35
129,Yaan,7.3833,8.5667,74.79,85,99,6.82,NG,2022-06-05 18:17:35
130,La Libertad,-2.2333,-80.9,71.26,78,100,9.22,EC,2022-06-05 18:17:35
131,Nouadhibou,20.931,-17.0347,71.58,68,99,20.71,MR,2022-06-05 18:17:36
132,Bluff,-46.6,168.3333,40.8,87,25,8.75,NZ,2022-06-05 18:17:36
133,Kruisfontein,-34.0033,24.7314,58.89,80,3,9.42,ZA,2022-06-05 18:17:36
134,Katherine,-14.4667,132.2667,75.52,57,97,0.0,AU,2022-06-05 18:17:37
135,Vanavara,60.34,102.2797,39.15,82,9,1.21,RU,2022-06-05 18:17:37
136,Muzhi,65.3667,64.6667,44.1,42,38,5.61,RU,2022-06-05 18:17:38
137,Georgetown,5.4112,100.3354,80.53,89,20,0.0,MY,2022-06-05 18:15:32
138,West Odessa,31.8424,-102.4988,97.48,14,0,16.11,US,2022-06-05 18:17:38
139,Umm Kaddadah,13.6017,26.6876,91.17,12,21,9.57,SD,2022-06-05 18:18:39
140,Vila Velha,-20.3297,-40.2925,76.95,64,20,13.8,BR,2022-06-05 18:18:01
141,Bethel,41.3712,-73.414,77.18,39,0,4.61,US,2022-06-05 18:18:39
142,Yarmouth,41.7057,-70.2286,75.61,42,0,5.99,US,2022-06-05 18:18:40
143,Hithadhoo,-0.6,73.0833,83.53,69,61,5.06,MV,2022-06-05 18:18:40
144,Valley City,46.9233,-98.0032,72.12,46,0,9.22,US,2022-06-05 18:18:40
145,Medina,24.4686,39.6142,104.43,7,0,3.44,SA,2022-06-05 18:18:41
146,Phonhong,18.5007,102.4166,75.67,93,100,0.94,LA,2022-06-05 18:18:41
147,Amqui,48.4638,-67.4313,48.11,95,100,7.43,CA,2022-06-05 18:18:41
148,Solnechnyy,50.7214,136.6319,49.53,65,4,2.89,RU,2022-06-05 18:18:42
149,Kondinskoye,59.6481,67.41,42.37,69,16,9.35,RU,2022-06-05 18:18:42
150,Grants Pass,42.439,-123.3284,68.49,80,100,8.05,US,2022-06-05 18:15:46
151,Koryazhma,61.3143,47.1691,54.07,90,99,2.53,RU,2022-06-05 18:18:43
152,Komsomolskiy,40.4272,71.7189,75.92,35,4,4.61,UZ,2022-06-05 18:18:22
153,Qaanaaq,77.484,-69.3632,31.89,66,1,2.75,GL,2022-06-05 18:18:43
154,Lompoc,34.6391,-120.4579,83.01,71,0,21.99,US,2022-06-05 18:17:51
155,Tiksi,71.6872,128.8694,41.68,89,85,4.03,RU,2022-06-05 18:18:44
156,Meadow Lake,34.8014,-106.5436,85.84,15,24,8.12,US,2022-06-05 18:18:44
157,Bakel,14.905,-12.4568,106.39,18,15,6.11,SN,2022-06-05 18:18:45
158,Srednekolymsk,67.45,153.6833,42.48,53,93,13.42,RU,2022-06-05 18:18:45
159,Lebu,-37.6167,-73.65,53.58,95,100,16.55,CL,2022-06-05 18:18:45
160,Wanning,18.8003,110.3967,81.16,87,98,11.12,CN,2022-06-05 18:18:46
161,Mogadishu,2.0371,45.3438,79.2,83,100,19.24,SO,2022-06-05 18:18:46
162,Olafsvik,64.8945,-23.7142,41.38,66,100,14.38,IS,2022-06-05 18:18:46
163,Moussoro,13.6408,16.4901,95.34,25,70,8.16,TD,2022-06-05 18:18:47
164,Roald,62.5833,6.1333,56.16,71,0,11.5,NO,2022-06-05 18:18:47
165,Pevek,69.7008,170.3133,30.85,85,97,7.07,RU,2022-06-05 18:18:48
166,Iqaluit,63.7506,-68.5145,51.53,54,20,8.05,CA,2022-06-05 18:18:48
167,Urumqi,43.801,87.6005,68.95,35,0,2.24,CN,2022-06-05 18:18:48
168,Batemans Bay,-35.7167,150.1833,55.09,70,1,24.81,AU,2022-06-05 18:18:49
169,Saint-Philippe,-21.3585,55.7679,71.19,75,49,12.59,RE,2022-06-05 18:18:49
170,Ribeira Brava,32.65,-17.0667,71.71,77,92,0.6,PT,2022-06-05 18:18:49
171,Folldal,62.1325,9.9968,49.73,60,91,6.49,NO,2022-06-05 18:18:50
172,Arcachon,44.5875,-1.0519,73.42,64,20,6.91,FR,2022-06-05 18:18:50
173,Mar Del Plata,-38.0023,-57.5575,55.42,77,0,5.75,AR,2022-06-05 18:17:52
174,Grand Gaube,-20.0064,57.6608,73.38,70,35,5.01,MU,2022-06-05 18:18:51
175,Makarov,48.6333,142.8,38.91,88,2,4.21,RU,2022-06-05 18:18:51
176,Yining,29.0361,114.5636,69.93,94,9,1.48,CN,2022-06-05 18:18:51
177,Sabang,5.8933,95.3214,82.83,77,100,11.39,ID,2022-06-05 18:18:52
178,Taksimo,56.3444,114.8794,54.37,77,100,1.23,RU,2022-06-05 18:18:52
179,Hualmay,-11.0964,-77.6139,68.34,75,98,14.36,PE,2022-06-05 18:18:52
180,Hasaki,35.7333,140.8333,63.0,85,100,1.66,JP,2022-06-05 18:18:53
181,Fort Nelson,58.8053,-122.7002,51.39,82,100,10.36,CA,2022-06-05 18:18:53
182,Evensk,61.95,159.2333,43.65,91,100,2.08,RU,2022-06-05 18:18:53
183,Caravelas,-17.7125,-39.2481,74.88,58,99,11.9,BR,2022-06-05 18:18:54
184,Nouakchott,18.0858,-15.9785,91.33,39,95,16.44,MR,2022-06-05 18:18:54
185,Tautira,-17.7333,-149.15,79.14,76,97,17.36,PF,2022-06-05 18:19:54
186,San Policarpo,12.1791,125.5072,77.77,89,46,4.09,PH,2022-06-05 18:19:55
187,Bayir,37.2687,28.2167,72.12,81,34,5.1,TR,2022-06-05 18:19:55
188,Lagoa,39.05,-27.9833,64.15,84,100,14.58,PT,2022-06-05 18:19:56
189,Yulara,-25.2406,130.9889,49.73,64,56,8.48,AU,2022-06-05 18:19:56
190,Krasnoselkup,65.7,82.4667,34.38,59,65,10.29,RU,2022-06-05 18:19:56
191,Ostrovnoy,68.0531,39.5131,55.8,79,36,7.67,RU,2022-06-05 18:19:57
192,Rio Gallegos,-51.6226,-69.2181,46.45,46,75,21.85,AR,2022-06-05 18:19:57
193,San Felipe,10.3399,-68.7425,86.74,58,42,4.63,VE,2022-06-05 18:19:58
194,Meybod,32.2501,54.0166,91.42,12,0,7.94,IR,2022-06-05 18:19:58
195,Tyukalinsk,55.8732,72.1967,43.39,80,33,6.31,RU,2022-06-05 18:19:58
196,Tasiilaq,65.6145,-37.6368,46.56,53,25,5.14,GL,2022-06-05 18:19:59
197,Saurimo,-9.6608,20.3916,65.07,44,4,5.73,AO,2022-06-05 18:19:59
198,Walvis Bay,-22.9575,14.5053,79.75,19,91,8.05,NA,2022-06-05 18:19:59
199,Emerald,-23.5333,148.1667,64.35,91,70,9.84,AU,2022-06-05 18:20:00
200,Kiunga,-6.1219,141.2906,71.2,99,71,0.45,PG,2022-06-05 18:20:00
